Date,Open,High,Low,Close,Volume,log_return,rsi,bb_upper,bb_mid,bb_lower,bb_width,macd,macd_signal,macd_hist,std_20,ema_50,ema_200,cross_signal
2017-01-12,8391.0498046875,8417.2001953125,8382.2998046875,8407.2001953125,172600,0.0031629810720875113,66.73000623897056,8408.982686519941,8150.502490234375,7892.0222939488085,0.06342681241929993,45.07820030561379,6.62163953692046,38.45656076869333,132.59754291585637,8241.18785137395,8247.817447306652,-1
2017-01-13,8457.650390625,8461.0498046875,8373.150390625,8400.349609375,185300,-0.0008151796539613075,65.98685193370751,8443.889417792354,8163.5474609375,7883.205504082645,0.06868140552775322,53.82913022595312,16.063137674726995,37.76599255122613,143.81238945713517,8247.429488942618,8249.335180262557,-1
2017-01-16,8390.9501953125,8426.7001953125,8374.400390625,8412.7998046875,124100,0.0014810071904502009,66.7124118651547,8477.909206281145,8178.969946289062,7880.030686296978,0.0730994885554549,61.065012493587346,25.06351263849907,36.00149985508828,153.35260467011665,8253.914599363987,8250.961693938427,1
2017-01-17,8415.0498046875,8440.900390625,8378.2998046875,8398.0,122000,-0.001760750075312027,64.93905186675806,8504.747249799477,8194.749951171874,7884.752652544272,0.07565753695346664,64.85764224394188,33.02233855958764,31.835303684354244,159.0252587983983,8259.565007232066,8252.424761660433,1
2017-01-18,8403.849609375,8460.2998046875,8397.400390625,8417.0,163800,0.002259887967437504,66.18191022908636,8530.5763535084,8212.5349609375,7894.493568366602,0.07745267303789803,68.60562689457402,40.138996226584915,28.4666306679891,163.15179192237937,8265.738928517083,8254.062326221027,1
2017-01-19,8418.400390625,8445.150390625,8404.0498046875,8435.099609375,165900,0.0021480547533008396,67.36859149706424,8548.511578866624,8235.334936523437,7922.15829418025,0.07605680758757224,72.20409508217017,46.552015997701965,25.652079084468205,160.6562277114125,8272.380523844844,8255.86369222256,1
2017-01-20,8404.349609375,8423.650390625,8340.9501953125,8349.349609375,202600,-0.010217880246458876,57.138820824250885,8548.301116749204,8253.514916992188,7958.728717235172,0.07143288713275739,67.36011323390812,50.7136354449432,16.646477788964923,151.22212972207404,8275.39891935583,8256.79390035343,1
2017-01-23,8329.599609375,8404.150390625,8327.2001953125,8391.5,195000,0.005035644029815811,60.32776731098758,8531.704978464544,8277.677416992188,8023.649855519831,0.061376530800993916,66.15975846550828,53.80286004905622,12.356898416452054,130.3133894518094,8279.951902910503,8258.134259553894,1
2017-01-24,8407.0498046875,8480.9501953125,8398.150390625,8475.7998046875,179200,0.009995732282151228,65.80711120411894,8541.54865045422,8299.82490234375,8058.101154233278,0.058247915095705684,71.19012295575885,57.28031263039675,13.909810325362102,124.00166637311386,8287.63221278411,8260.30008587363,1
2017-01-25,8499.4501953125,8612.599609375,8493.9501953125,8602.75,292500,0.014866898538362306,72.0644613055977,8572.178215507129,8328.219897460938,8084.261579414748,0.05858594538805757,84.4470893709913,62.71366797851566,21.73342139247565,125.14797656324842,8299.989773067085,8263.707547705735,1
